iter	RMSE
0	25.08686161
1	21.83689266
2	19.11157351
3	16.56254339
4	14.7130037
5	12.83765138
6	11.19439692
7	9.853287162
8	8.663124348
9	7.682582414
10	6.773139411
11	6.039535295
12	5.363199358
13	4.747026322
14	4.260591202
15	3.808147826
16	3.43804144
17	3.104126134
18	2.818791019
19	2.570902672
20	2.377242993
21	2.194521387
22	2.045351298
23	1.8981162
24	1.768852497
25	1.66089263
26	1.565689052
27	1.471403456
28	1.393268981
29	1.331191772
30	1.273299939
31	1.226381379
32	1.185004499
33	1.141523203
34	1.111966516
35	1.093147173
36	1.073799782
37	1.050602614
38	1.033645214
39	1.015035586
40	1.002179694
41	0.9903129651
42	0.9786222002
43	0.967274022
44	0.9568405181
45	0.9480011447
46	0.9398882539
47	0.9008222807
48	0.8674862459
49	0.8601302671
50	0.8533428871
51	0.8476979392
52	0.8150701065
53	0.8097634145
54	0.8048930417
55	0.7941070186
56	0.7644946742
57	0.7609122315
58	0.7572606186
59	0.7540708408
60	0.739079316
61	0.7363778386
62	0.733892729
63	0.7316067955
64	0.7088353547
65	0.7064761279
66	0.704524433
67	0.7025023173
68	0.7006442127
69	0.6869995052
70	0.6854119496
71	0.6758641703
72	0.6744526081
73	0.6671820864
74	0.6510059851
75	0.6497414601
76	0.6485801601
77	0.647613879
78	0.6287033016
79	0.6277365284
80	0.6209641108
81	0.60788328
82	0.6070113906
83	0.6017630388
84	0.597728017
85	0.5937037885
86	0.581633723
87	0.5809971208
88	0.5761209636
89	0.5654290561
90	0.556153984
91	0.5527267183
92	0.5513881208
93	0.543251551
94	0.5402539522
95	0.5375819672
96	0.5355569445
97	0.5300991648
98	0.5238418486
99	0.5183811939
100	0.516325722
101	0.5144311677
102	0.5096833569
103	0.5055486886
104	0.5005046099
105	0.4988183528
106	0.4913353228
107	0.4865979164
108	0.4830271739
109	0.4788138122
110	0.4767059644
111	0.474271319
112	0.4711438454
113	0.4689045642
114	0.4637203522
115	0.4602234966
116	0.4583005605
117	0.456582964
118	0.4533469373
119	0.4511792787
120	0.4478557901
121	0.4446660152
122	0.4407101988
123	0.4381752281
124	0.4363127019
125	0.4332253095
126	0.4277196647
127	0.4254500437
128	0.4219029184
129	0.4164019736
130	0.4138510255
131	0.4124817768
132	0.4100701549
133	0.4069315662
134	0.4034826292
135	0.4015519283
136	0.3993287445
137	0.3968825469
138	0.3934539674
139	0.389608779
140	0.3844671866
141	0.381104562
142	0.3787114737
143	0.3770103121
144	0.3735761805
145	0.3689355965
146	0.366123248
147	0.3642726569
148	0.3630458463
149	0.3602527197
150	0.3584064063
151	0.3560758724
152	0.3540399647
153	0.3523271959
154	0.3492738372
155	0.3442845464
156	0.3422224311
157	0.3397511419
158	0.3381687775
159	0.3360454505
160	0.3339263333
161	0.3328566043
162	0.3306881857
163	0.3284915
164	0.3265174044
165	0.3249069154
166	0.3210210911
167	0.3186926991
168	0.315342458
169	0.3132295235
170	0.3122862546
171	0.3107924973
172	0.3089079226
173	0.3080420176
174	0.3066703137
175	0.3046735282
176	0.3022710883
177	0.3006490831
178	0.2996815345
179	0.2981808358
180	0.2962563766
181	0.2947048509
182	0.2939916939
183	0.2932388903
184	0.2916786275
185	0.2910330542
186	0.2901229898
187	0.2889605196
188	0.2874800284
189	0.2862611105
190	0.2854078384
191	0.2835590147
192	0.2824332041
193	0.2808861713
194	0.2798436829
195	0.278304185
196	0.277253622
197	0.2742051893
198	0.2735375519
199	0.2708425769
200	0.2700415935
201	0.2672111785
202	0.2660256893
203	0.2654031033
204	0.2644245397
205	0.262747508
206	0.2619817323
207	0.2587421031
208	0.2574226561
209	0.2562445784
210	0.2550201001
211	0.2523375849
212	0.2514658695
213	0.2507334743
214	0.2493532115
215	0.2468524014
216	0.2459368018
217	0.2452553539
218	0.2429190257
219	0.2420004417
220	0.2411692541
221	0.2397540103
222	0.2382097747
223	0.2376103496
224	0.2360749062
225	0.2358726453
226	0.2345611438
227	0.2331159122
228	0.2320534817
229	0.2308754422
230	0.2284155285
231	0.22822242
232	0.2269473133
233	0.226485524
234	0.2256557433
235	0.2242870269
236	0.2219797638
237	0.220425898
238	0.21914286
239	0.2185571319
240	0.21724098
241	0.2160880015
242	0.2155168632
243	0.2132766224
244	0.2131041997
245	0.2122929079
246	0.2110651511
247	0.2098149198
248	0.2077345821
249	0.2069712617
250	0.20581811
251	0.2046408303
252	0.2026655538
253	0.2012521922
254	0.2005672608
255	0.1997688109
256	0.1979723658
257	0.1974983401
258	0.1969538561
259	0.1961184839
260	0.1954311463
261	0.1943797144
262	0.1936763553
263	0.1924437631
264	0.191886876
265	0.1893918066
266	0.1887770526
267	0.1886152641
268	0.1881401866
269	0.1862133932
270	0.185119936
271	0.1845516374
272	0.184056341
273	0.1822592651
274	0.1817307974
275	0.1811069696
276	0.1800693802
277	0.17957532
278	0.179434631
279	0.1789701562
280	0.1778691483
281	0.1769818688
282	0.1759689397
283	0.1752757129
284	0.1746379114
285	0.1736020423
286	0.1725606357
287	0.1721205058
288	0.1711580979
289	0.1695338878
290	0.1678181516
291	0.1663236038
292	0.1661914657
293	0.1646027964
294	0.1640306819
295	0.1626471979
296	0.1619758838
297	0.1601681111
298	0.1596715576
299	0.1587806845
